book_id,chap_id,term_str,n,tfidf_x,max_pos,dfidf,tfidf_y,syu_sentiment,origin,weighted_sentiment
84,41,immense,2,0.042230920900708034,JJ,23.81823938799933,0.002479356104739728,0.5,British,0.021115460450354017
84,45,immense,1,0.022385563334585835,JJ,23.81823938799933,0.002479356104739728,0.5,British,0.011192781667292918
84,48,immense,1,0.015036767290403619,JJ,23.81823938799933,0.002479356104739728,0.5,British,0.0075183836452018095
84,56,immense,2,0.015426320847149826,JJ,23.81823938799933,0.002479356104739728,0.5,British,0.007713160423574913
201,2,immense,1,0.002349865764404038,JJ,23.81823938799933,0.002479356104739728,0.5,British,0.001174932882202019
201,4,immense,1,0.0054729410358454345,JJ,23.81823938799933,0.002479356104739728,0.5,British,0.0027364705179227173
18247,1,immense,4,0.0010640743114724504,JJ,23.81823938799933,0.002479356104739728,0.5,British,0.0005320371557362252
84,30,impatient,1,0.05951434075050456,NN,20.353904536672562,0.002868719012598228,-1.0,British,-0.05951434075050456
84,32,impatient,1,0.02569937441499061,NN,20.353904536672562,0.002868719012598228,-1.0,British,-0.02569937441499061
84,51,impatient,1,0.021607117342539877,NN,20.353904536672562,0.002868719012598228,-1.0,British,-0.021607117342539877
84,54,impatient,1,0.02188591885663716,NN,20.353904536672562,0.002868719012598228,-1.0,British,-0.02188591885663716
5230,14,impatient,1,0.04777911863068676,NN,20.353904536672562,0.002868719012598228,-1.0,British,-0.04777911863068676
18247,1,impatient,14,0.0042434277983294,NN,20.353904536672562,0.002868719012598228,-1.0,British,-0.0042434277983294
84,30,important,1,0.06977684076315642,JJ,15.909119693999665,0.001386169107530866,0.75,British,0.05233263057236731
201,2,important,1,0.0031391317470401865,JJ,15.909119693999665,0.001386169107530866,0.75,British,0.00235434881028014
201,3,important,1,0.013346576924496364,JJ,15.909119693999665,0.001386169107530866,0.75,British,0.010009932693372272
18247,1,important,3,0.0010661043397515858,JJ,15.909119693999665,0.001386169107530866,0.75,British,0.0007995782548136894
84,30,impossible,1,0.03994456500629516,JJ,29.598922669664713,0.004354147786901019,-0.5,British,-0.01997228250314758
84,32,impossible,1,0.017248789434536546,JJ,29.598922669664713,0.004354147786901019,-0.5,British,-0.008624394717268273
84,36,impossible,1,0.01674147209822665,JJ,29.598922669664713,0.004354147786901019,-0.5,British,-0.008370736049113325
84,39,impossible,3,0.03315786706833239,JJ,29.598922669664713,0.004354147786901019,-0.5,British,-0.016578933534166194
84,45,impossible,1,0.01711909928841221,JJ,29.598922669664713,0.004354147786901019,-0.5,British,-0.008559549644206105
84,48,impossible,1,0.011499192956357698,JJ,29.598922669664713,0.004354147786901019,-0.5,British,-0.005749596478178849
201,2,impossible,4,0.007188130087952089,JJ,29.598922669664713,0.004354147786901019,-0.5,British,-0.0035940650439760446
201,3,impossible,4,0.030561613494749316,JJ,29.598922669664713,0.004354147786901019,-0.5,British,-0.015280806747374658
201,4,impossible,1,0.004185368024556662,JJ,29.598922669664713,0.004354147786901019,-0.5,British,-0.002092684012278331
5230,18,impossible,2,0.03826622193880377,JJ,29.598922669664713,0.004354147786901019,-0.5,British,-0.019133110969401883
5230,37,impossible,1,0.013715904851559182,JJ,29.598922669664713,0.004354147786901019,-0.5,British,-0.006857952425779591
5230,43,impossible,2,0.03959722096276216,JJ,29.598922669664713,0.004354147786901019,-0.5,British,-0.01979861048138108
18247,1,impossible,25,0.00508586536222039,JJ,29.598922669664713,0.004354147786901019,-0.5,British,-0.002542932681110195
84,30,inexorable,1,0.07705820039962738,JJ,13.176952268336283,0.0020027151375866985,-0.6,British,-0.04623492023977643
84,40,inexorable,1,0.029677820424180816,JJ,13.176952268336283,0.0020027151375866985,-0.6,British,-0.01780669225450849
84,52,inexorable,1,0.019435032844153807,JJ,13.176952268336283,0.0020027151375866985,-0.6,British,-0.011661019706492285
84,30,instantly,1,0.038068859674426525,RB,30.37895002019237,0.003959189055850503,-0.25,British,-0.009517214918606631
84,32,instantly,1,0.016438825768502367,RB,30.37895002019237,0.003959189055850503,-0.25,British,-0.004109706442125592
84,37,instantly,1,0.017641666678392783,RB,30.37895002019237,0.003959189055850503,-0.25,British,-0.004410416669598196
84,38,instantly,1,0.01778627050362551,RB,30.37895002019237,0.003959189055850503,-0.25,British,-0.004446567625906377
84,39,instantly,3,0.03160084953556765,RB,30.37895002019237,0.003959189055850503,-0.25,British,-0.007900212383891913
84,45,instantly,2,0.03263045114950845,RB,30.37895002019237,0.003959189055850503,-0.25,British,-0.008157612787377113
84,52,instantly,1,0.009601438059479257,RB,30.37895002019237,0.003959189055850503,-0.25,British,-0.0024003595148698142
84,53,instantly,4,0.03823656390206718,RB,30.37895002019237,0.003959189055850503,-0.25,British,-0.009559140975516795
84,54,instantly,1,0.013999516138337498,RB,30.37895002019237,0.003959189055850503,-0.25,British,-0.0034998790345843744
84,56,instantly,1,0.005621567361249514,RB,30.37895002019237,0.003959189055850503,-0.25,British,-0.0014053918403123785
201,2,instantly,1,0.0017126479885101122,RB,30.37895002019237,0.003959189055850503,-0.25,British,-0.00042816199712752804
5230,11,instantly,1,0.011420657902327958,RB,30.37895002019237,0.003959189055850503,-0.25,British,-0.0028551644755819895
5230,46,instantly,1,0.013312423321731976,RB,30.37895002019237,0.003959189055850503,-0.25,British,-0.003328105830432994
